,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,u,v,key
223,"[27109322, 843730835]",,"['Santa Lucia Street', 'Postigo Street']",unclassified,40,False,219.065,"LINESTRING (120.973116 14.5894997, 120.9728926 14.5898542, 120.9722718 14.5909011, 120.9725541 14.5911164)",,301287773,163735854,0
224,27109322,,Santa Lucia Street,unclassified,40,False,128.22,"LINESTRING (120.973116 14.5894997, 120.9732686 14.589283, 120.973819 14.5885689)",,301287773,163715977,0
225,89432772,2,Anda Street,residential,40,False,74.40299999999999,"LINESTRING (120.973116 14.5894997, 120.9732125 14.5895882, 120.9735571 14.5898765, 120.9736334 14.5899434)",,301287773,163728450,0
226,31806553,1,General Luna Street,unclassified,40,True,83.258,"LINESTRING (120.9725301 14.5922385, 120.9719989 14.5927829)",,340150426,997427853,0
227,34363668,4,A. Soriano Avenue,secondary,40,False,82.644,"LINESTRING (120.9725301 14.5922385, 120.9719585 14.5917421)",,340150426,5561065691,0
228,34363668,4,A. Soriano Avenue,secondary,40,False,78.145,"LINESTRING (120.9725301 14.5922385, 120.9727966 14.5924709, 120.9729897 14.5926457, 120.9730636 14.5927152)",,340150426,3388766875,0
229,794302967,2,General Luna Street,tertiary,40,False,95.372,"LINESTRING (120.9725301 14.5922385, 120.9726079 14.5921607, 120.9726866 14.5920752, 120.9728432 14.5919058, 120.9729907 14.5917447, 120.9730529 14.5916772, 120.973123 14.5916011)",,340150426,997427763,0
230,16175529,2,Recoletos Street,unclassified,30,False,55.622,"LINESTRING (120.9784354 14.5884701, 120.9788071 14.5888177)",,405253178,163725623,0
231,34753026,,Escuela,residential,,False,85.154,"LINESTRING (120.9784354 14.5884701, 120.977954 14.5890779)",,405253178,405253179,0
232,16175529,2,Recoletos Street,unclassified,30,False,37.025,"LINESTRING (120.9784354 14.5884701, 120.978308 14.5883494, 120.9781893 14.5882374)",,405253178,163715615,0
233,34753026,,Escuela,residential,,False,85.154,"LINESTRING (120.977954 14.5890779, 120.9784354 14.5884701)",,405253179,405253178,0
234,89432768,2,Victoria Street,unclassified,40,False,40.13,"LINESTRING (120.977954 14.5890779, 120.97823 14.5893206)",,405253179,163715370,0
235,89432768,2,Victoria Street,unclassified,40,False,42.209,"LINESTRING (120.977954 14.5890779, 120.9779068 14.589031, 120.9776735 14.5888126)",,405253179,163715617,0
236,16176649,1,16th Street,tertiary,35,True,89.013,"LINESTRING (120.9716578 14.5894023, 120.9710653 14.5888437)",,616061273,163749624,0
237,4075790,4,Bonifacio Drive,trunk,60,True,258.05899999999997,"LINESTRING (120.9716578 14.5894023, 120.9718018 14.5891749, 120.9720122 14.5888646, 120.9725584 14.5879826, 120.9726221 14.5878721, 120.9729059 14.587421)",120,616061273,3199908408,0
238,89527832,2,Quintin Paredes Street,secondary,40,True,22.672,"LINESTRING (120.9782388 14.5945369, 120.9780879 14.5946792)",,617535909,33444448,0
239,704755565,2,,secondary_link,40,True,20.737,"LINESTRING (120.9782388 14.5945369, 120.9782431 14.594576, 120.9782471 14.5946156, 120.9782602 14.5946724, 120.9782858 14.5947149)",,617535909,1707897341,0
240,161306392,4,Andres Soriano Avenue,secondary,40,False,65.367,"LINESTRING (120.9741903 14.5942876, 120.974169 14.5937001)",,703530319,21638762,0
241,124472779,2,Quintin Paredes Street,secondary,,True,111.88900000000001,"LINESTRING (120.9783943 14.5938629, 120.9784363 14.5938107, 120.9785528 14.5936658, 120.9788928 14.5932924, 120.9791097 14.593141)",,997416620,1385466358,0
242,"[158627299, 720371453]",2,Anda Street,unclassified,40,False,106.313,"LINESTRING (120.9783943 14.5938629, 120.9776603 14.5936012, 120.9776151 14.5935787, 120.9775993 14.5935685, 120.9775455 14.5935336, 120.9775015 14.5934795)",,997416620,163723133,0
243,331777153,2,Cabildo Street,unclassified,40,False,91.906,"LINESTRING (120.9725756 14.5932655, 120.9720202 14.5938934)",,997416622,3388905506,0
244,331777153,2,Cabildo Street,unclassified,40,False,80.634,"LINESTRING (120.9725756 14.5932655, 120.9730636 14.5927152)",,997416622,3388766875,0
245,85932695,1,Santa Clara Street,unclassified,30,False,82.046,"LINESTRING (120.9725756 14.5932655, 120.9720701 14.5928392, 120.9719989 14.5927829)",,997416622,997427853,0
246,46913676,,Postigo Street,unclassified,,False,81.57000000000001,"LINESTRING (120.973123 14.5916011, 120.9730163 14.591509, 120.9728896 14.5914063, 120.972619 14.5911725, 120.9725541 14.5911164)",,997427763,163735854,0
247,161414112,2,General Luna Street,tertiary,40,False,83.275,"LINESTRING (120.973123 14.5916011, 120.9731884 14.591529, 120.9736339 14.5910386)",,997427763,163723193,0
248,794302967,2,General Luna Street,tertiary,40,False,95.372,"LINESTRING (120.973123 14.5916011, 120.9730529 14.5916772, 120.9729907 14.5917447, 120.9728432 14.5919058, 120.9726866 14.5920752, 120.9726079 14.5921607, 120.9725301 14.5922385)",,997427763,340150426,0
249,161306504,2,,unclassified,,False,46.404,"LINESTRING (120.974794 14.5936951, 120.9744618 14.593429)",,997427805,163734761,0
250,331769752,3,Muralla Street,unclassified,40,True,67.257,"LINESTRING (120.974794 14.5936951, 120.974169 14.5937001)",,997427805,21638762,0
251,"[581101011, 46753775]","['1', '2']","['Santa Clara Street', 'Arzobispo Street']",unclassified,30,True,166.10899999999998,"LINESTRING (120.9719989 14.5927829, 120.9719784 14.5927635, 120.9716585 14.5924838, 120.9714266 14.5922971, 120.9719585 14.5917421)",,997427853,5561065691,0
252,85932695,1,Santa Clara Street,unclassified,30,False,82.046,"LINESTRING (120.9719989 14.5927829, 120.9720701 14.5928392, 120.9725756 14.5932655)",,997427853,997416622,0
253,161414115,2,Magallanes Street,residential,30,False,26.206,"LINESTRING (120.9743729 14.5924544, 120.9742083 14.5926281)",,1034880407,163715618,0
254,89184384,,Santo Tomas Street,unclassified,30,True,78.07900000000001,"LINESTRING (120.9743729 14.5924544, 120.9746506 14.5927124, 120.9748831 14.5929533)",,1034880407,1034880410,0
255,161414115,2,Magallanes Street,residential,30,False,57.202999999999996,"LINESTRING (120.9743729 14.5924544, 120.9746299 14.5921629, 120.974718 14.5920631)",,1034880407,163723590,0
256,161306405,,Solana Street,residential,30,False,24.768,"LINESTRING (120.9748831 14.5929533, 120.9747259 14.593116)",,1034880410,163723847,0
257,161306405,,Solana Street,residential,30,False,57.79,"LINESTRING (120.9748831 14.5929533, 120.9751637 14.5926734, 120.9752577 14.5925809)",,1034880410,163723591,0
258,89184420,1,Urdaneta Street,unclassified,30,False,85.901,"LINESTRING (120.9759043 14.5896891, 120.9753166 14.5891663)",,1034881576,1034881577,0
259,749181387,2,Cabildo Street,residential,40,False,67.823,"LINESTRING (120.9759043 14.5896891, 120.9763202 14.5892308)",,1034881576,163724861,0
260,749181389,2,Cabildo Street,residential,40,False,61.906,"LINESTRING (120.9759043 14.5896891, 120.9755121 14.5900964)",,1034881576,3388706122,0
261,72516245,2,General Luna Street,tertiary,40,False,63.082,"LINESTRING (120.9753166 14.5891663, 120.9757101 14.5887458)",,1034881577,163724862,0
262,89184420,1,Urdaneta Street,unclassified,30,False,85.901,"LINESTRING (120.9753166 14.5891663, 120.9759043 14.5896891)",,1034881577,1034881576,0
263,72516245,2,General Luna Street,tertiary,40,False,64.266,"LINESTRING (120.9753166 14.5891663, 120.9752363 14.589257, 120.9752126 14.5892844, 120.9751293 14.5893808, 120.9749323 14.5896087)",,1034881577,163715979,0
264,89571507,,Novales Street,living_street,,False,68.997,"LINESTRING (120.9780065 14.5895606, 120.978502 14.5899544)",,1038283665,6633789015,0
265,572614637,,Solana Street,unclassified,30,False,93.481,"LINESTRING (120.9780065 14.5895606, 120.977442 14.5901996)",,1038283665,163724401,0
266,572614637,,Solana Street,unclassified,30,False,35.925,"LINESTRING (120.9780065 14.5895606, 120.97823 14.5893206)",,1038283665,163715370,0
267,161414175,2,,unclassified,40,False,57.223,"LINESTRING (120.9749608 14.5937828, 120.974956 14.5942974)",,1055759279,21638765,0
268,161414175,2,,unclassified,40,False,8.291,"LINESTRING (120.9749608 14.5937828, 120.9749577 14.5937083)",,1055759279,21638763,0
269,607837307,3,,unclassified,40,True,68.095,"LINESTRING (120.9749608 14.5937828, 120.9753825 14.5942394)",,1055759279,5799534205,0
270,16353687,2,Quintin Paredes Street,secondary,40,True,27.276,"LINESTRING (120.977813 14.5948761, 120.9779276 14.5946573)",,1055798638,21638771,0
271,90955074,1,,secondary_link,40,True,42.684,"LINESTRING (120.977813 14.5948761, 120.9777751 14.5947835, 120.977725 14.5947253, 120.9775632 14.5945876)",,1055798638,5799534217,0
272,124472779,2,Quintin Paredes Street,secondary,,True,68.179,"LINESTRING (120.9780734 14.5943875, 120.9781852 14.5941408, 120.9783943 14.5938629)",,1055798662,997416620,0
273,161414165,2,Quintin Paredes Street,secondary,40,True,178.15099999999998,"LINESTRING (120.9780734 14.5943875, 120.9782603 14.5941961, 120.9785475 14.5938332, 120.9790552 14.5932331, 120.9791097 14.593141)",,1055798662,1385466358,0
274,16176619,,A.C. Delgado Street,tertiary,35,False,61.633,"LINESTRING (120.9710346 14.5864017, 120.9706328 14.5867967)",,1326072342,163748224,0
275,117768434,,19th Street,residential,35,False,147.527,"LINESTRING (120.9710346 14.5864017, 120.9720293 14.5873147)",,1326072342,1326072343,0
276,16176697,,Railroad Drive,tertiary,35,False,60.17,"LINESTRING (120.9720293 14.5873147, 120.9723204 14.5868527)",,1326072343,3201008959,0
277,16176697,,Railroad Drive,tertiary,35,False,67.734,"LINESTRING (120.9720293 14.5873147, 120.9717013 14.5878346)",,1326072343,163748221,0
278,117768434,,19th Street,residential,35,False,147.527,"LINESTRING (120.9720293 14.5873147, 120.9710346 14.5864017)",,1326072343,1326072342,0
279,612736036,3,Quintin Paredes Street,secondary,40,True,131.704,"LINESTRING (120.9791097 14.593141, 120.9796623 14.5924783, 120.9797635 14.5923496, 120.9799053 14.5922473)",,1385466358,3403138118,0
280,158627312,2,Lawton Road,tertiary,40,True,22.244,"LINESTRING (120.9782858 14.5947149, 120.9784826 14.5947761)",,1707897341,1707897342,0
281,791613121,4,Anda Circle,trunk,40,True,7.879,"LINESTRING (120.9709283 14.5912007, 120.970856 14.5912119)",120,2018584651,26030584,0
282,117768435,,20th Street,tertiary,35,False,89.236,"LINESTRING (120.9729059 14.587421, 120.9723204 14.5868527)",,3199908408,3201008959,0
283,16176697,,Railroad Drive,tertiary,35,False,60.17,"LINESTRING (120.9723204 14.5868527, 120.9720293 14.5873147)",,3201008959,1326072343,0
284,117768435,,20th Street,tertiary,35,False,89.236,"LINESTRING (120.9723204 14.5868527, 120.9729059 14.587421)",,3201008959,3199908408,0
285,16176697,,Railroad Drive,tertiary,35,False,71.397,"LINESTRING (120.9723204 14.5868527, 120.9725251 14.5865289, 120.9726665 14.5863049)",,3201008959,3201009147,0
286,16176658,2,Atlanta Street,residential,35,False,65.694,"LINESTRING (120.9710435 14.5879903, 120.9706129 14.5884091)",,3201009065,163749768,0
287,16176658,2,Atlanta Street,residential,35,False,62.193,"LINESTRING (120.9710435 14.5879903, 120.9714463 14.5875892)",,3201009065,163748223,0
288,316372304,,17th Street,residential,,False,52.819,"LINESTRING (120.9710435 14.5879903, 120.9713923 14.5883245)",,3201009065,163749759,0
289,316372304,,17th Street,residential,,False,124.607,"LINESTRING (120.9710435 14.5879903, 120.9702272 14.5871955)",,3201009065,3201009286,0
290,16176697,,Railroad Drive,tertiary,35,False,71.397,"LINESTRING (120.9726665 14.5863049, 120.9725251 14.5865289, 120.9723204 14.5868527)",,3201009147,3201008959,0
291,16176619,,A.C. Delgado Street,tertiary,35,False,62.221,"LINESTRING (120.9702272 14.5871955, 120.9706328 14.5867967)",,3201009286,163748224,0
292,316372304,,17th Street,residential,,False,124.607,"LINESTRING (120.9702272 14.5871955, 120.9710435 14.5879903)",,3201009286,3201009065,0
293,16176619,,A.C. Delgado Street,tertiary,35,False,66.53099999999999,"LINESTRING (120.9702272 14.5871955, 120.9698389 14.587567, 120.9697882 14.5876168)",,3201009286,163749626,0
294,163844201,2,Cabildo Street,residential,40,False,127.986,"LINESTRING (120.9755121 14.5900964, 120.9747178 14.5909531)",,3388706122,163723137,0
295,749181389,2,Cabildo Street,residential,40,False,61.906,"LINESTRING (120.9755121 14.5900964, 120.9759043 14.5896891)",,3388706122,1034881576,0
296,749181390,,Real Street,residential,30,False,81.055,"LINESTRING (120.9755121 14.5900964, 120.9760658 14.5905906)",,3388706122,163715982,0
297,749181388,,Real Street,residential,30,False,82.66499999999999,"LINESTRING (120.9755121 14.5900964, 120.9750893 14.5897408, 120.9749323 14.5896087)",,3388706122,163715979,0
298,331777153,2,Cabildo Street,unclassified,40,False,80.634,"LINESTRING (120.9730636 14.5927152, 120.9725756 14.5932655)",,3388766875,997416622,0
299,34363668,4,A. Soriano Avenue,secondary,40,False,161.689,"LINESTRING (120.9730636 14.5927152, 120.9740455 14.5935874, 120.974169 14.5937001)",,3388766875,21638762,0
300,34363668,4,A. Soriano Avenue,secondary,40,False,78.14500000000001,"LINESTRING (120.9730636 14.5927152, 120.9729897 14.5926457, 120.9727966 14.5924709, 120.9725301 14.5922385)",,3388766875,340150426,0
301,"[163844201, 161414090]",2,Cabildo Street,"['unclassified', 'residential']",40,False,92.412,"LINESTRING (120.9730636 14.5927152, 120.9733836 14.5923817, 120.9736138 14.5921391, 120.9736464 14.5921048)",,3388766875,163723846,0
302,331777153,2,Cabildo Street,unclassified,40,False,91.906,"LINESTRING (120.9720202 14.5938934, 120.9725756 14.5932655)",,3388905506,997416622,0
303,89432768,2,Victoria Street,unclassified,40,False,83.135,"LINESTRING (120.9758872 14.5874509, 120.9752848 14.5869828)",,4211986439,163725138,0
304,89432768,2,Victoria Street,unclassified,40,False,81.626,"LINESTRING (120.9758872 14.5874509, 120.9764785 14.5879107)",,4211986439,21638777,0
305,421439717,2,Basco Street,unclassified,,False,104.777,"LINESTRING (120.9758872 14.5874509, 120.9753497 14.588121, 120.9752901 14.5881952)",,4211986439,4211986449,0
306,331769749,2,Santa Potenciana Street,unclassified,30,False,91.816,"LINESTRING (120.9752901 14.5881952, 120.9747605 14.5875478)",,4211986449,163724864,0
307,331769749,2,Santa Potenciana Street,unclassified,30,False,76.099,"LINESTRING (120.9752901 14.5881952, 120.9757101 14.5887458)",,4211986449,163724862,0
308,421439717,2,Basco Street,unclassified,,False,104.777,"LINESTRING (120.9752901 14.5881952, 120.9753497 14.588121, 120.9758872 14.5874509)",,4211986449,4211986439,0
309,34363668,4,A. Soriano Avenue,secondary,40,False,82.644,"LINESTRING (120.9719585 14.5917421, 120.9725301 14.5922385)",,5561065691,340150426,0
310,34363668,4,A. Soriano Avenue,secondary,40,False,39.196999999999996,"LINESTRING (120.9719585 14.5917421, 120.9717419 14.5915755, 120.9717226 14.5915453, 120.9716867 14.5915104)",,5561065691,34013013,0
311,843730836,,Arzobispo Street,unclassified,30,False,94.60300000000001,"LINESTRING (120.9719585 14.5917421, 120.9721026 14.591593, 120.972345 14.5913434, 120.9725541 14.5911164)",,5561065691,163735854,0
312,795463264,4,Magallanes Drive,tertiary,40,True,46.345,"LINESTRING (120.9753825 14.5942394, 120.974956 14.5942974)",,5799534205,21638765,0
313,4079467,6,Magallanes Drive,tertiary,40,False,238.011,"LINESTRING (120.9753825 14.5942394, 120.9755045 14.5942414, 120.9761079 14.5943568, 120.976309 14.594391, 120.9767943 14.5944717, 120.9775632 14.5945876)",,5799534205,5799534217,0
314,791645317,6,Magallanes Drive,tertiary,40,False,39.971,"LINESTRING (120.9775632 14.5945876, 120.9779276 14.5946573)",,5799534217,21638771,0
315,4079467,6,Magallanes Drive,tertiary,40,False,238.011,"LINESTRING (120.9775632 14.5945876, 120.9767943 14.5944717, 120.976309 14.594391, 120.9761079 14.5943568, 120.9755045 14.5942414, 120.9753825 14.5942394)",,5799534217,5799534205,0
316,90955075,1,,secondary_link,40,True,54.668,"LINESTRING (120.9775632 14.5945876, 120.9777635 14.5945524, 120.9779025 14.5944918, 120.9780425 14.5944345)",,5799534217,5799534236,0
317,791645315,2,Quintin Paredes Street,secondary,40,True,6.194,"LINESTRING (120.9780425 14.5944345, 120.9780734 14.5943875)",,5799534236,1055798662,0
318,16176689,,11th Street,tertiary,35,False,16.391,"LINESTRING (120.9702012 14.5919108, 120.9700972 14.5918031)",,6616025154,26032680,0
319,791613122,2,Quintin Paredes Street,secondary,40,True,18.428,"LINESTRING (120.9780456 14.5947438, 120.9779314 14.5948673)",,6618406202,33445249,0
320,784669679,2,Lawton Road,tertiary,40,True,15.929000000000002,"LINESTRING (120.9780456 14.5947438, 120.9779934 14.5947055, 120.9779276 14.5946573)",,6618406202,21638771,0
321,89571507,,Novales Street,living_street,,False,68.997,"LINESTRING (120.978502 14.5899544, 120.9780065 14.5895606)",,6633789015,1038283665,0
322,16176697,,Railroad Drive,tertiary,35,False,3.956,"LINESTRING (120.9710462 14.5888741, 120.9710653 14.5888437)",,7555626796,163749624,0
323,16176697,,Railroad Drive,tertiary,35,False,56.982,"LINESTRING (120.9710462 14.5888741, 120.9707698 14.5893112)",,7555626796,163749520,0
324,807971933,1,16th Street,tertiary,35,True,69.412,"LINESTRING (120.9710462 14.5888741, 120.9705866 14.5884361)",,7555626796,7555626807,0
325,16176658,2,Atlanta Street,residential,35,False,56.185,"LINESTRING (120.9705866 14.5884361, 120.9702275 14.5888029)",,7555626807,163749769,0
326,16176658,2,Atlanta Street,residential,35,False,4.126,"LINESTRING (120.9705866 14.5884361, 120.9706129 14.5884091)",,7555626807,163749768,0
327,807971933,1,16th Street,tertiary,35,True,125.14500000000001,"LINESTRING (120.9705866 14.5884361, 120.9698015 14.5876879, 120.969758 14.5876464)",,7555626807,7555626817,0
328,16176619,,A.C. Delgado Street,tertiary,35,False,4.625,"LINESTRING (120.969758 14.5876464, 120.9697882 14.5876168)",,7555626817,163749626,0
329,16176619,,A.C. Delgado Street,tertiary,35,False,57.373000000000005,"LINESTRING (120.969758 14.5876464, 120.9697219 14.5876829, 120.9693893 14.5880191)",,7555626817,163749521,0
330,4075790,4,Bonifacio Drive,trunk,60,True,4.506,"LINESTRING (120.9716378 14.5894379, 120.9716578 14.5894023)",120,7555626818,616061273,0
331,807971933,1,16th Street,tertiary,35,True,89.348,"LINESTRING (120.9716378 14.5894379, 120.9710462 14.5888741)",,7555626818,7555626796,0
